time,rms,region,temps,mesures,x,y
0.00,0,Silence,1,1,0.199425,0.965794
0.02,0,Silence,1,1,0.199425,0.965794
0.04,0,Silence,1,1,0.199425,0.965794
0.06,0,Silence,1,1,0.199425,0.965794
0.08,0,Silence,1,1,0.199425,0.965794
0.10,0,Silence,1,1,0.199425,0.965794
0.12,0,Silence,1,1,0.199425,0.965794
0.14,0,Silence,1,1,0.199425,0.965794
0.16,0,Silence,1,1,0.199425,0.965794
0.18,0,Silence,1,1,0.199425,0.965794
0.20,0,Silence,1,1,0.199425,0.965794
0.22,0,Silence,1,1,0.199425,0.965794
0.24,0,Silence,1,1,0.199425,0.965794
0.26,0,Silence,1,1,0.199425,0.965794
0.28,0,Silence,1,1,0.199425,0.965794
0.30,0,Silence,2,1,0.199425,0.965794
0.32,0,Silence,2,1,0.199425,0.965794
0.34,0,Silence,2,1,0.199425,0.965794
0.36,0,Silence,2,1,0.199425,0.965794
0.38,0,Silence,2,1,0.199425,0.965794
0.40,0,Silence,2,1,0.199425,0.965794
0.42,0,Silence,2,1,0.199425,0.965794
0.44,0,Silence,2,1,0.199425,0.965794
0.46,0,Silence,2,1,0.199425,0.965794
0.48,0,Silence,2,1,0.199425,0.965794
0.50,0,Silence,2,1,0.199425,0.965794
0.52,0,Silence,2,1,0.199425,0.965794
0.54,0,Silence,2,1,0.199425,0.965794
0.56,0,Silence,2,1,0.199425,0.965794
0.58,0,Silence,2,1,0.199425,0.965794
0.60,0,Silence,3,1,0.199425,0.965794
0.62,0,Silence,3,1,0.199425,0.965794
0.64,0,Silence,3,1,0.199425,0.965794
0.66,0,Silence,3,1,0.199425,0.965794
0.68,0,Silence,3,1,0.199425,0.965794
0.70,0,Silence,3,1,0.199425,0.965794
0.72,0,Silence,3,1,0.199425,0.965794
0.74,0,Silence,3,1,0.199425,0.965794
0.76,0,Silence,3,1,0.199425,0.965794
0.78,0,Silence,3,1,0.199425,0.965794
0.80,0,Silence,3,1,0.199425,0.965794
0.82,0,Silence,3,1,0.199425,0.965794
0.84,0,Silence,3,1,0.199425,0.965794
0.86,0,Silence,3,1,0.199425,0.965794
0.88,0,Silence,3,1,0.199425,0.965794
0.90,0,Silence,3,1,0.199425,0.965794
0.92,0,Silence,4,1,0.199425,0.965794
0.94,0,Silence,4,1,0.199425,0.965794
0.96,0,Silence,4,1,0.199425,0.965794
0.98,0,Silence,4,1,0.199425,0.965794
1.00,0,Silence,4,1,0.199425,0.965794
1.02,0,Silence,4,1,0.199425,0.965794
1.04,0,Silence,4,1,0.199425,0.965794
1.06,0,Silence,4,1,0.199425,0.965794
1.08,0,Silence,4,1,0.199425,0.965794
1.10,0,Silence,4,1,0.199425,0.965794
1.12,0,Silence,4,1,0.199425,0.965794
1.14,0,Silence,4,1,0.199425,0.965794
1.16,0,Silence,4,1,0.199425,0.965794
1.18,0,Silence,4,1,0.199425,0.965794
1.20,0,Silence,4,1,0.199425,0.965794
1.22,0,Silence,1,2,0.199425,0.965794
1.24,0,Silence,1,2,0.199425,0.965794
1.26,0,Silence,1,2,0.199425,0.965794
1.28,0,Silence,1,2,0.199425,0.965794
1.30,0,Silence,1,2,0.199425,0.965794
1.32,0,Silence,1,2,0.199425,0.965794
1.34,0,Silence,1,2,0.199425,0.965794
1.36,0,Silence,1,2,0.199425,0.965794
1.38,0,Silence,1,2,0.199425,0.965794
1.40,0,Silence,1,2,0.199425,0.965794
1.42,0,Silence,1,2,0.199425,0.965794
1.44,0,Silence,1,2,0.199425,0.965794
1.46,0,Silence,1,2,0.199425,0.965794
1.48,0,Silence,1,2,0.199425,0.965794
1.50,0,Silence,1,2,0.199425,0.965794
1.52,0,Silence,1,2,0.199425,0.965794
1.54,0,Silence,2,2,0.199425,0.965794
1.56,0,Silence,2,2,0.199425,0.965794
1.58,0,Silence,2,2,0.199425,0.965794
1.60,0,Silence,2,2,0.199425,0.965794
1.62,0,Silence,2,2,0.199425,0.965794
1.64,0,Silence,2,2,0.199425,0.965794
1.66,0,Silence,2,2,0.199425,0.965794
1.68,0,Silence,2,2,0.199425,0.965794
1.70,0,Silence,2,2,0.199425,0.965794
1.72,0,Silence,2,2,0.199425,0.965794
1.74,0,Silence,2,2,0.199425,0.965794
1.76,0,Silence,2,2,0.199425,0.965794
1.78,0,Silence,2,2,0.199425,0.965794
1.80,0,Silence,2,2,0.199425,0.965794
1.82,0,Silence,2,2,0.199425,0.965794
1.84,0,Silence,3,2,0.199425,0.965794
1.86,0,Silence,3,2,0.199425,0.965794
1.88,0,Silence,3,2,0.199425,0.965794
1.90,0,Silence,3,2,0.199425,0.965794
1.92,0,Silence,3,2,0.199425,0.965794
1.94,0,Silence,3,2,0.199425,0.965794
1.96,0,Silence,3,2,0.199425,0.965794
1.98,0,Silence,3,2,0.199425,0.965794
2.00,0,Silence,3,2,0.199425,0.965794
2.02,0,Silence,3,2,0.199425,0.965794
2.04,0,Silence,3,2,0.199425,0.965794
2.06,0,Silence,3,2,0.199425,0.965794
2.08,0,Silence,3,2,0.199425,0.965794
2.10,0,Silence,3,2,0.199425,0.965794
2.12,0,Silence,3,2,0.199425,0.965794
2.14,0,Silence,3,2,0.199425,0.965794
2.16,0,Silence,4,2,0.199425,0.965794
2.18,0,Silence,4,2,0.199425,0.965794
2.20,0,Silence,4,2,0.199425,0.965794
2.22,0,Silence,4,2,0.199425,0.965794
2.24,0,Silence,4,2,0.199425,0.965794
2.26,0,Silence,4,2,0.199425,0.965794
2.28,0,Silence,4,2,0.199425,0.965794
2.30,0,Silence,4,2,0.199425,0.965794
2.32,0,Silence,4,2,0.199425,0.965794
2.34,0,Silence,4,2,0.199425,0.965794
2.36,0,Silence,4,2,0.199425,0.965794
2.38,0,Silence,4,2,0.199425,0.965794
2.40,0,Silence,4,2,0.199425,0.965794
2.42,0,Silence,4,2,0.199425,0.965794
2.44,0,Silence,4,2,0.199425,0.965794
2.46,0,Silence,1,3,0.199425,0.965794
2.48,0,Silence,1,3,0.199425,0.965794
2.50,0,Silence,1,3,0.199425,0.965794
2.52,0,Silence,1,3,0.199425,0.965794
2.54,0,Silence,1,3,0.199425,0.965794
2.56,0,Silence,1,3,0.199425,0.965794
2.58,0,Silence,1,3,0.199425,0.965794
2.60,0,Silence,1,3,0.199425,0.965794
2.62,0,Silence,1,3,0.199425,0.965794
2.64,0,Silence,1,3,0.199425,0.965794
2.66,0,Silence,1,3,0.199425,0.965794
2.68,0,Silence,1,3,0.199425,0.965794
2.70,0,Silence,1,3,0.199425,0.965794
2.72,0,Silence,1,3,0.199425,0.965794
2.74,0,Silence,1,3,0.199425,0.965794
2.76,0,Silence,1,3,0.199425,0.965794
2.78,0,Silence,2,3,0.199425,0.965794
2.80,0,Silence,2,3,0.199425,0.965794
2.82,0,Silence,2,3,0.199425,0.965794
2.84,0,Silence,2,3,0.199425,0.965794
2.86,0,Silence,2,3,0.199425,0.965794
2.88,0,Silence,2,3,0.199425,0.965794
2.90,0,Silence,2,3,0.199425,0.965794
2.92,0,Silence,2,3,0.199425,0.965794
2.94,0,Silence,2,3,0.199425,0.965794
2.96,0,Silence,2,3,0.199425,0.965794
2.98,0,Silence,2,3,0.199425,0.965794
3.00,0,Silence,2,3,0.199425,0.965794
3.02,0,Silence,2,3,0.199425,0.965794
3.04,0,Silence,2,3,0.199425,0.965794
3.06,0,Silence,2,3,0.199425,0.965794
3.08,0,Silence,3,3,0.199425,0.965794
3.10,0,Silence,3,3,0.199425,0.965794
3.12,0,Silence,3,3,0.199425,0.965794
3.14,0,Silence,3,3,0.199425,0.965794
3.16,0,Silence,3,3,0.199425,0.965794
3.18,0,Silence,3,3,0.199425,0.965794
3.20,0,Silence,3,3,0.199425,0.965794
3.22,0,Silence,3,3,0.199425,0.965794
3.24,0,Silence,3,3,0.199425,0.965794
3.26,0,Silence,3,3,0.199425,0.965794
3.28,0,Silence,3,3,0.199425,0.965794
3.30,0,Silence,3,3,0.199425,0.965794
3.32,0,Silence,3,3,0.199425,0.965794
3.34,0,Silence,3,3,0.199425,0.965794
3.36,0,Silence,3,3,0.199425,0.965794
3.38,0,Silence,3,3,0.199425,0.965794
3.40,0,Silence,4,3,0.199425,0.965794
3.42,0,Silence,4,3,0.199425,0.965794
3.44,0,Silence,4,3,0.199425,0.965794
3.46,0,Silence,4,3,0.199425,0.965794
3.48,0,Silence,4,3,0.199425,0.965794
3.50,0,Silence,4,3,0.199425,0.965794
3.52,0,Silence,4,3,0.199425,0.965794
3.54,0,Silence,4,3,0.199425,0.965794
3.56,0,Silence,4,3,0.199425,0.965794
3.58,0,Silence,4,3,0.199425,0.965794
3.60,0,Silence,4,3,0.199425,0.965794
3.62,0,Silence,4,3,0.199425,0.965794
3.64,0,Silence,4,3,0.199425,0.965794
3.66,0,Silence,4,3,0.199425,0.965794
3.68,0,Silence,4,3,0.199425,0.965794
3.70,0,Silence,1,4,0.199425,0.965794
3.72,0,Silence,1,4,0.199425,0.965794
3.74,0,Silence,1,4,0.199425,0.965794
3.76,0,Silence,1,4,0.199425,0.965794
3.78,0,Silence,1,4,0.199425,0.965794
3.80,0,Silence,1,4,0.199425,0.965794
3.82,0,Silence,1,4,0.199425,0.965794
3.84,0,Silence,1,4,0.199425,0.965794
3.86,0,Silence,1,4,0.199425,0.965794
3.88,0,Silence,1,4,0.199425,0.965794
3.90,0,Silence,1,4,0.199425,0.965794
3.92,0,Silence,1,4,0.199425,0.965794
3.94,0,Silence,1,4,0.199425,0.965794
3.96,0,Silence,1,4,0.199425,0.965794
3.98,0,Silence,1,4,0.199425,0.965794
4.00,0,Silence,1,4,0.199425,0.965794
4.02,0,Silence,2,4,0.199425,0.965794
4.04,0,Silence,2,4,0.199425,0.965794
4.06,0,Silence,2,4,0.199425,0.965794
4.08,0,Silence,2,4,0.199425,0.965794
4.10,0,Silence,2,4,0.199425,0.965794
4.12,0,Silence,2,4,0.199425,0.965794
4.14,0,Silence,2,4,0.199425,0.965794
4.16,0,Silence,2,4,0.199425,0.965794
4.18,0,Silence,2,4,0.199425,0.965794
4.20,0,Silence,2,4,0.199425,0.965794
4.22,0,Silence,2,4,0.199425,0.965794
4.24,0,Silence,2,4,0.199425,0.965794
4.26,0,Silence,2,4,0.199425,0.965794
4.28,0,Silence,2,4,0.199425,0.965794
4.30,0,Silence,2,4,0.199425,0.965794
4.32,0,Silence,3,4,0.199425,0.965794
4.34,0,Silence,3,4,0.199425,0.965794
4.36,0,Silence,3,4,0.199425,0.965794
4.38,0,Silence,3,4,0.199425,0.965794
4.40,0,Silence,3,4,0.199425,0.965794
4.42,0,Silence,3,4,0.199425,0.965794
4.44,0,Silence,3,4,0.199425,0.965794
4.46,0,Silence,3,4,0.199425,0.965794
4.48,0,Silence,3,4,0.199425,0.965794
4.50,0,Silence,3,4,0.199425,0.965794
4.52,0,Silence,3,4,0.199425,0.965794
4.54,0,Silence,3,4,0.199425,0.965794
4.56,0,Silence,3,4,0.199425,0.965794
