time,rms,region,temps,mesures,x,y
0.00,0,Silence,1,1,0.692121,0.721773
0.02,0,Silence,1,1,0.692121,0.721773
0.04,0,Silence,1,1,0.69212,0.721775
0.06,0,Silence,1,1,0.692121,0.721773
0.08,0,Silence,1,1,0.692123,0.721773
0.10,0,Silence,1,1,0.692116,0.721775
0.12,0,Silence,1,1,0.692123,0.721775
0.14,0,Silence,1,1,0.692123,0.721775
0.16,0,Silence,1,1,0.692119,0.721776
0.18,0,Silence,1,1,0.692124,0.721773
0.20,0,Silence,1,1,0.692124,0.721773
0.22,0,Silence,1,1,0.69212,0.721757
0.24,0,Silence,1,1,0.692121,0.721775
0.26,0,Silence,1,1,0.692121,0.721775
0.28,0,Silence,1,1,0.692128,0.721776
0.30,0,Silence,1,1,0.69212,0.721773
0.32,0,Silence,1,1,0.69212,0.721773
0.34,0,Silence,1,1,0.69212,0.721775
0.36,0,Silence,1,1,0.69212,0.721771
0.38,0,Silence,1,1,0.69212,0.721771
0.40,0,Silence,1,1,0.692119,0.721777
0.42,0,Silence,2,1,0.692113,0.721772
0.44,0,Silence,2,1,0.692113,0.721772
0.46,0,Silence,2,1,0.692119,0.721776
0.48,0,Silence,2,1,0.692115,0.721773
0.50,0,Silence,2,1,0.692115,0.721773
0.52,0,Silence,2,1,0.692119,0.721772
0.54,0,Silence,2,1,0.692117,0.721775
0.56,0,Silence,2,1,0.692117,0.721775
0.58,0,Silence,2,1,0.692119,0.721772
0.60,0,Silence,2,1,0.692116,0.721773
0.62,0,Silence,2,1,0.692116,0.721773
0.64,0,Silence,2,1,0.692116,0.721772
0.66,0,Silence,2,1,0.692116,0.721773
0.68,0,Silence,2,1,0.692116,0.721773
0.70,0,Silence,2,1,0.69212,0.721775
0.72,0,Silence,2,1,0.69212,0.721772
0.74,0,Silence,2,1,0.69212,0.721772
0.76,0,Silence,2,1,0.69212,0.721775
0.78,0,Silence,2,1,0.692123,0.721775
0.80,0,Silence,2,1,0.692123,0.721775
0.82,0,Silence,2,1,0.692117,0.721772
0.84,0,Silence,3,1,0.692116,0.721773
0.86,0,Silence,3,1,0.692116,0.721773
0.88,0,Silence,3,1,0.69212,0.721772
0.90,0,Silence,3,1,0.692113,0.721773
0.92,0,Silence,3,1,0.692113,0.721773
0.94,0,Silence,3,1,0.692116,0.721773
0.96,0,Silence,3,1,0.692123,0.721773
0.98,0,Silence,3,1,0.692123,0.721773
1.00,0,Silence,3,1,0.692123,0.721773
1.02,0,Silence,3,1,0.692121,0.721769
1.04,0,Silence,3,1,0.692121,0.721769
1.06,0,Silence,3,1,0.692117,0.721775
1.08,0,Silence,3,1,0.692123,0.721772
1.10,0,Silence,3,1,0.692123,0.721772
1.12,0,Silence,3,1,0.692123,0.721773
1.14,0,Silence,3,1,0.692117,0.721775
1.16,0,Silence,3,1,0.692117,0.721775
1.18,0,Silence,3,1,0.692115,0.721773
1.20,0,Silence,3,1,0.692119,0.721773
1.22,0,Silence,3,1,0.692119,0.721773
1.24,0,Silence,3,1,0.692119,0.721775
1.26,0,Silence,4,1,0.692124,0.721773
1.28,0,Silence,4,1,0.692124,0.721773
1.30,0,Silence,4,1,0.692115,0.721775
1.32,0,Silence,4,1,0.692123,0.721772
1.34,0,Silence,4,1,0.692123,0.721772
1.36,0,Silence,4,1,0.692116,0.721773
1.38,0,Silence,4,1,0.692121,0.721773
1.40,0,Silence,4,1,0.692121,0.721773
1.42,0,Silence,4,1,0.692121,0.721773
1.44,0,Silence,4,1,0.692116,0.721775
1.46,0,Silence,4,1,0.692116,0.721775
1.48,0,Silence,4,1,0.692116,0.721775
1.50,0,Silence,4,1,0.692117,0.721766
1.52,0,Silence,4,1,0.692117,0.721766
1.54,0,Silence,4,1,0.692117,0.721775
1.56,0,Silence,4,1,0.69212,0.721775
1.58,0,Silence,4,1,0.69212,0.721775
1.60,0,Silence,4,1,0.692123,0.721773
1.62,0,Silence,4,1,0.692109,0.721771
1.64,0,Silence,4,1,0.692109,0.721771
1.66,0,Silence,4,1,0.69213,0.721773
1.68,0,Silence,1,2,0.69212,0.721772
1.70,0,Silence,1,2,0.69212,0.721772
1.72,0,Silence,1,2,0.692116,0.721776
1.74,0,Silence,1,2,0.692123,0.721779
1.76,0,Silence,1,2,0.692123,0.721779
1.78,0,Silence,1,2,0.692119,0.721775
1.80,0,Silence,1,2,0.692121,0.721766
1.82,0,Silence,1,2,0.692121,0.721766
1.84,0,Silence,1,2,0.692119,0.721783
1.86,0,Silence,1,2,0.692115,0.721773
1.88,0,Silence,1,2,0.692115,0.721773
1.90,0,Silence,1,2,0.692113,0.721776
