time,rms,region,temps,mesures,x,y
0.00,0,Silence,1,1,0.029744,0.93685
0.02,0,Silence,1,1,0.029744,0.93685
0.04,0,Silence,1,1,0.029744,0.93685
0.06,0,Silence,1,1,0.029744,0.93685
0.08,0,Silence,1,1,0.029744,0.93685
0.10,0,Silence,1,1,0.029744,0.93685
0.12,0,Silence,1,1,0.029744,0.93685
0.14,0,Silence,1,1,0.029744,0.93685
0.16,0,Silence,1,1,0.029744,0.93685
0.18,0,Silence,1,1,0.029744,0.93685
0.20,0,Silence,1,1,0.029744,0.93685
0.22,0,Silence,1,1,0.029744,0.93685
0.24,0,Silence,1,1,0.029744,0.93685
0.26,0,Silence,1,1,0.029744,0.93685
0.28,0,Silence,1,1,0.029744,0.93685
0.30,0,Silence,1,1,0.029744,0.93685
0.32,0,Silence,1,1,0.029744,0.93685
0.34,0,Silence,1,1,0.029744,0.93685
0.36,0,Silence,1,1,0.029744,0.93685
0.38,0,Silence,2,1,0.029744,0.93685
0.40,0,Silence,2,1,0.029744,0.93685
0.42,0,Silence,2,1,0.029744,0.93685
0.44,0,Silence,2,1,0.029744,0.93685
0.46,0,Silence,2,1,0.029744,0.93685
0.48,0,Silence,2,1,0.029744,0.93685
0.50,0,Silence,2,1,0.029744,0.93685
0.52,0,Silence,2,1,0.029744,0.93685
0.54,0,Silence,2,1,0.029744,0.93685
0.56,0,Silence,2,1,0.029744,0.93685
0.58,0,Silence,2,1,0.029744,0.93685
0.60,0,Silence,2,1,0.029744,0.93685
0.62,0,Silence,2,1,0.029744,0.93685
0.64,0,Silence,2,1,0.029744,0.93685
0.66,0,Silence,2,1,0.029744,0.93685
0.68,0,Silence,2,1,0.029744,0.93685
0.70,0,Silence,2,1,0.029744,0.93685
0.72,0,Silence,2,1,0.029744,0.93685
0.74,0,Silence,2,1,0.029744,0.93685
0.76,0,Silence,2,1,0.029744,0.93685
0.78,0,Silence,3,1,0.029744,0.93685
0.80,0,Silence,3,1,0.029744,0.93685
0.82,0,Silence,3,1,0.029744,0.93685
0.84,0,Silence,3,1,0.029744,0.93685
0.86,0,Silence,3,1,0.029744,0.93685
0.88,0,Silence,3,1,0.029744,0.93685
0.90,0,Silence,3,1,0.029744,0.93685
0.92,0,Silence,3,1,0.029744,0.93685
0.94,0,Silence,3,1,0.029744,0.93685
0.96,0,Silence,3,1,0.029744,0.93685
0.98,0,Silence,3,1,0.029744,0.93685
1.00,0,Silence,3,1,0.029744,0.93685
1.02,0,Silence,3,1,0.029744,0.93685
1.04,0,Silence,3,1,0.029744,0.93685
1.06,0,Silence,3,1,0.029744,0.93685
1.08,0,Silence,3,1,0.029744,0.93685
1.10,0,Silence,3,1,0.029744,0.93685
1.12,0,Silence,3,1,0.029744,0.93685
1.14,0,Silence,3,1,0.029744,0.93685
1.16,0,Silence,3,1,0.029744,0.93685
1.18,0,Silence,4,1,0.029744,0.93685
1.20,0,Silence,4,1,0.029744,0.93685
1.22,0,Silence,4,1,0.029744,0.93685
1.24,0,Silence,4,1,0.029744,0.93685
1.26,0,Silence,4,1,0.029744,0.93685
1.28,0,Silence,4,1,0.029744,0.93685
1.30,0,Silence,4,1,0.029744,0.93685
1.32,0,Silence,4,1,0.029744,0.93685
1.34,0,Silence,4,1,0.029744,0.93685
1.36,0,Silence,4,1,0.029744,0.93685
1.38,0,Silence,4,1,0.029744,0.93685
1.40,0,Silence,4,1,0.029744,0.93685
1.42,0,Silence,4,1,0.029744,0.93685
1.44,0,Silence,4,1,0.029744,0.93685
1.46,0,Silence,4,1,0.029744,0.93685
1.48,0,Silence,4,1,0.029744,0.93685
1.50,0,Silence,4,1,0.029744,0.93685
1.52,0,Silence,4,1,0.029744,0.93685
1.54,0,Silence,4,1,0.029744,0.93685
1.56,0,Silence,1,2,0.029744,0.93685
