time,rms,region,temps,mesures,x,y
0.00,0,Silence,1,1,-0.299165,0.941045
0.02,0,Silence,1,1,-0.299165,0.941045
0.04,0,Silence,1,1,-0.299157,0.941033
0.06,0,Silence,1,1,-0.299159,0.941036
0.08,0,Silence,1,1,-0.299158,0.941035
0.10,0,Silence,1,1,-0.299151,0.94103
0.12,0,Silence,1,1,-0.299158,0.941037
0.14,0,Silence,1,1,-0.299158,0.941037
0.16,0,Silence,1,1,-0.299155,0.941025
0.18,0,Silence,1,1,-0.299159,0.941032
0.20,0,Silence,1,1,-0.299159,0.941032
0.22,0,Silence,1,1,-0.299152,0.941033
0.24,0,Silence,1,1,-0.299152,0.941032
0.26,0,Silence,1,1,-0.299152,0.941032
0.28,0,Silence,1,1,-0.299155,0.941036
0.30,0,Silence,1,1,-0.299147,0.941032
0.32,0,Silence,1,1,-0.299147,0.941032
0.34,0,Silence,1,1,-0.299154,0.941035
0.36,0,Silence,1,1,-0.299167,0.941035
0.38,0,Silence,1,1,-0.299167,0.941035
0.40,0,Silence,1,1,-0.299157,0.941035
0.42,0,Silence,1,1,-0.299157,0.94104
0.44,0,Silence,1,1,-0.299157,0.94104
0.46,0,Silence,1,1,-0.299157,0.941033
0.48,0,Silence,1,1,-0.299162,0.941039
0.50,0,Silence,2,1,-0.299162,0.941039
0.52,0,Silence,2,1,-0.299155,0.941039
0.54,0,Silence,2,1,-0.299157,0.941032
0.56,0,Silence,2,1,-0.299157,0.941032
0.58,0,Silence,2,1,-0.299152,0.941033
0.60,0,Silence,2,1,-0.299159,0.941033
0.62,0,Silence,2,1,-0.299159,0.941033
0.64,0,Silence,2,1,-0.299157,0.941035
0.66,0,Silence,2,1,-0.299157,0.94103
0.68,0,Silence,2,1,-0.299157,0.94103
0.70,0,Silence,2,1,-0.299154,0.941035
0.72,0,Silence,2,1,-0.299159,0.941033
0.74,0,Silence,2,1,-0.299159,0.941033
0.76,0,Silence,2,1,-0.299149,0.941039
0.78,0,Silence,2,1,-0.299161,0.94103
0.80,0,Silence,2,1,-0.299161,0.94103
0.82,0,Silence,2,1,-0.299157,0.941043
0.84,0,Silence,2,1,-0.299157,0.941036
0.86,0,Silence,2,1,-0.299157,0.941036
0.88,0,Silence,2,1,-0.299148,0.941033
0.90,0,Silence,2,1,-0.299145,0.941036
0.92,0,Silence,2,1,-0.299145,0.941036
0.94,0,Silence,2,1,-0.299161,0.941032
0.96,0,Silence,2,1,-0.299154,0.941039
0.98,0,Silence,2,1,-0.299154,0.941039
1.00,0,Silence,3,1,-0.299152,0.941035
1.02,0,Silence,3,1,-0.299157,0.941037
1.04,0,Silence,3,1,-0.299157,0.941037
1.06,0,Silence,3,1,-0.299155,0.941037
1.08,0,Silence,3,1,-0.299151,0.941032
1.10,0,Silence,3,1,-0.299151,0.941032
1.12,0,Silence,3,1,-0.299155,0.941035
1.14,0,Silence,3,1,-0.299155,0.941033
1.16,0,Silence,3,1,-0.299155,0.941033
1.18,0,Silence,3,1,-0.299145,0.941037
1.20,0,Silence,3,1,-0.299158,0.941035
1.22,0,Silence,3,1,-0.299158,0.941035
1.24,0,Silence,3,1,-0.299155,0.941032
1.26,0,Silence,3,1,-0.299155,0.941037
1.28,0,Silence,3,1,-0.299155,0.941037
1.30,0,Silence,3,1,-0.299155,0.941039
1.32,0,Silence,3,1,-0.299154,0.941035
1.34,0,Silence,3,1,-0.299154,0.941035
1.36,0,Silence,3,1,-0.299151,0.941035
1.38,0,Silence,3,1,-0.299155,0.94103
1.40,0,Silence,3,1,-0.299155,0.94103
1.42,0,Silence,3,1,-0.299145,0.941035
1.44,0,Silence,3,1,-0.299152,0.941033
1.46,0,Silence,3,1,-0.299152,0.941033
1.48,0,Silence,3,1,-0.299152,0.941033
1.50,0,Silence,4,1,-0.299157,0.941032
1.52,0,Silence,4,1,-0.299157,0.941032
1.54,0,Silence,4,1,-0.299155,0.94103
1.56,0,Silence,4,1,-0.299159,0.941042
1.58,0,Silence,4,1,-0.299159,0.941042
1.60,0,Silence,4,1,-0.299151,0.941042
1.62,0,Silence,4,1,-0.299152,0.941035
1.64,0,Silence,4,1,-0.299152,0.941035
1.66,0,Silence,4,1,-0.299154,0.941032
1.68,0,Silence,4,1,-0.299158,0.941032
1.70,0,Silence,4,1,-0.299158,0.941032
1.72,0,Silence,4,1,-0.299154,0.941037
1.74,0,Silence,4,1,-0.299154,0.941037
1.76,0,Silence,4,1,-0.299154,0.941037
1.78,0,Silence,4,1,-0.299154,0.941037
1.80,0,Silence,4,1,-0.299154,0.941037
1.82,0,Silence,4,1,-0.299154,0.941037
1.84,0,Silence,4,1,-0.299154,0.941037
1.86,0,Silence,4,1,-0.299154,0.941037
1.88,0,Silence,4,1,-0.299154,0.941037
1.90,0,Silence,4,1,-0.299154,0.941037
1.92,0,Silence,4,1,-0.299154,0.941037
1.94,0,Silence,4,1,-0.299154,0.941037
1.96,0,Silence,4,1,-0.299154,0.941037
1.98,0,Silence,4,1,-0.299154,0.941037
2.00,0,Silence,1,2,-0.299154,0.941037
2.02,0,Silence,1,2,-0.299154,0.941037
2.04,0,Silence,1,2,-0.299154,0.941037
2.06,0,Silence,1,2,-0.299154,0.941037
2.08,0,Silence,1,2,-0.299154,0.941037
2.10,0,Silence,1,2,-0.299154,0.941037
2.12,0,Silence,1,2,-0.299154,0.941037
2.14,0,Silence,1,2,-0.299154,0.941037
2.16,0,Silence,1,2,-0.299154,0.941037
2.18,0,Silence,1,2,-0.299154,0.941037
2.20,0,Silence,1,2,-0.299154,0.941037
2.22,0,Silence,1,2,-0.299154,0.941037
2.24,0,Silence,1,2,-0.299154,0.941037
2.26,0,Silence,1,2,-0.299154,0.941037
2.28,0,Silence,1,2,-0.299154,0.941037
2.30,0,Silence,1,2,-0.299154,0.941037
2.32,0,Silence,1,2,-0.299154,0.941037
2.34,0,Silence,1,2,-0.299154,0.941037
