time,rms,region,temps,mesures,x,y
0.00,0,Silence,1,1,0.077717,0.582166
0.02,0,Silence,1,1,0.077717,0.582166
0.04,0,Silence,1,1,0.077282,0.580575
0.06,0,Silence,1,1,0.076771,0.579084
0.08,0,Silence,1,1,0.077088,0.579334
0.10,0,Silence,1,1,0.076639,0.574496
0.12,0,Silence,1,1,0.077018,0.580527
0.14,0,Silence,1,1,0.077018,0.580527
0.16,0,Silence,1,1,0.075923,0.578818
0.18,0,Silence,1,1,0.079825,0.579867
0.20,0,Silence,1,1,0.079825,0.579867
0.22,0,Silence,1,1,0.076356,0.577839
0.24,0,Silence,1,1,0.077054,0.578646
0.26,0,Silence,1,1,0.077054,0.578646
0.28,0,Silence,1,1,0.075771,0.577202
0.30,0,Silence,1,1,0.074785,0.575583
0.32,0,Silence,2,1,0.074785,0.575583
0.34,0,Silence,2,1,0.073977,0.57801
0.36,0,Silence,2,1,0.07594,0.576593
0.38,0,Silence,2,1,0.07594,0.576593
0.40,0,Silence,2,1,0.073431,0.573002
0.42,0,Silence,2,1,0.075,0.572359
0.44,0,Silence,2,1,0.075,0.572359
0.46,0,Silence,2,1,0.075677,0.568253
0.48,0,Silence,2,1,0.075829,0.567386
0.50,0,Silence,2,1,0.075829,0.567386
0.52,0,Silence,2,1,0.076393,0.567348
0.54,0,Silence,2,1,0.075996,0.564809
0.56,0,Silence,2,1,0.075996,0.564809
0.58,0,Silence,2,1,0.078217,0.563692
0.60,0,Silence,2,1,0.077697,0.561922
0.62,0,Silence,2,1,0.077697,0.561922
0.64,0,Silence,2,1,0.080312,0.555301
0.66,0,Silence,3,1,0.089474,0.55617
0.68,0,Silence,3,1,0.089474,0.55617
0.70,0,Silence,3,1,0.097825,0.535407
0.72,0,Silence,3,1,0.10139,0.472085
0.74,0,Silence,3,1,0.10139,0.472085
0.76,0,Silence,3,1,0.100039,0.459905
0.78,0,Silence,3,1,0.101707,0.449644
0.80,0,Silence,3,1,0.101707,0.449644
0.82,0,Silence,3,1,0.108858,0.440045
0.84,0,Silence,3,1,0.108785,0.361588
0.86,0,Silence,3,1,0.108785,0.361588
0.88,0,Silence,3,1,0.114159,0.358484
0.90,0,Silence,3,1,0.110656,0.355004
0.92,0,Silence,3,1,0.110656,0.355004
0.94,0,Silence,3,1,0.114561,0.346098
0.96,0,Silence,3,1,0.113598,0.333437
0.98,0,Silence,4,1,0.113598,0.333437
1.00,0,Silence,4,1,0.116708,0.326923
1.02,0,Silence,4,1,0.121407,0.320072
1.04,0,Silence,4,1,0.121407,0.320072
1.06,0,Silence,4,1,0.134778,0.314104
1.08,0,Silence,4,1,0.14372,0.312288
1.10,0,Silence,4,1,0.14372,0.312288
1.12,0,Silence,4,1,0.143433,0.311647
1.14,0,Silence,4,1,0.154407,0.293032
1.16,0,Silence,4,1,0.154407,0.293032
1.18,0,Silence,4,1,0.155573,0.270539
1.20,0,Silence,4,1,0.160186,0.254307
1.22,0,Silence,4,1,0.160186,0.254307
1.24,0,Silence,4,1,0.163909,0.234098
1.26,0,Silence,4,1,0.168837,0.185567
1.28,0,Silence,4,1,0.168837,0.185567
1.30,0,Silence,4,1,0.167568,0.160912
1.32,0,Silence,1,2,0.164418,0.126231
1.34,0,Silence,1,2,0.164418,0.126231
1.36,0,Silence,1,2,0.162282,0.113983
1.38,0,Silence,1,2,0.157293,0.095714
1.40,0,Silence,1,2,0.157293,0.095714
1.42,0,Silence,1,2,0.147911,0.077107
1.44,0,Silence,1,2,0.146525,0.073207
1.46,0,Silence,1,2,0.146525,0.073207
1.48,0,Silence,1,2,0.147481,0.071368
1.50,0,Silence,1,2,0.144901,0.070593
1.52,0,Silence,1,2,0.144901,0.070593
1.54,0,Silence,1,2,0.144195,0.066653
1.56,0,Silence,1,2,0.138189,0.020736
1.58,0,Silence,1,2,0.138189,0.020736
1.60,0,Silence,1,2,0.136198,0.008036
1.62,0,Silence,1,2,0.135224,-0.020464
1.64,0,Silence,1,2,0.135224,-0.020464
1.66,0,Silence,2,2,0.133635,-0.052454
1.68,0,Silence,2,2,0.135675,-0.069273
1.70,0,Silence,2,2,0.135675,-0.069273
1.72,0,Silence,2,2,0.133797,-0.082824
1.74,0,Silence,2,2,0.136179,-0.091868
1.76,0,Silence,2,2,0.136179,-0.091868
1.78,0,Silence,2,2,0.135806,-0.101246
1.80,0,Silence,2,2,0.135806,-0.102
1.82,0,Silence,2,2,0.135806,-0.102
1.84,0,Silence,2,2,0.135497,-0.101891
1.86,0,Silence,2,2,0.134983,-0.105127
1.88,0,Silence,2,2,0.134983,-0.105127
1.90,0,Silence,2,2,0.133237,-0.100761
1.92,0,Silence,2,2,0.134743,-0.101138
1.94,0,Silence,2,2,0.134743,-0.101138
1.96,0,Silence,2,2,0.135583,-0.100367
1.98,0,Silence,3,2,0.13512,-0.101514
2.00,0,Silence,3,2,0.13512,-0.101514
2.02,0,Silence,3,2,0.134675,-0.102
2.04,0,Silence,3,2,0.137084,-0.102619
2.06,0,Silence,3,2,0.137084,-0.102619
2.08,0,Silence,3,2,0.133613,-0.101514
2.10,0,Silence,3,2,0.134898,-0.103265
2.12,0,Silence,3,2,0.134898,-0.103265
2.14,0,Silence,3,2,0.1306,-0.102644
2.16,0,Silence,3,2,0.130071,-0.102777
2.18,0,Silence,3,2,0.130071,-0.102777
2.20,0,Silence,3,2,0.125379,-0.101409
2.22,0,Silence,3,2,0.121494,-0.106012
2.24,0,Silence,3,2,0.121494,-0.106012
2.26,0,Silence,3,2,0.119062,-0.106148
2.28,0,Silence,3,2,0.113931,-0.10768
2.30,0,Silence,3,2,0.113931,-0.10768
2.32,0,Start,4,2,0.102968,-0.107887
2.34,0,Start,4,2,0.0928,-0.108381
2.36,0,Start,4,2,0.0928,-0.108381
2.38,0,Start,4,2,0.076877,-0.112312
2.40,0,Start,4,2,0.067821,-0.111224
2.42,0,Start,4,2,0.067821,-0.111224
2.44,0,Start,4,2,0.064669,-0.112592
2.46,0,Start,4,2,0.05852,-0.114713
2.48,0,Start,4,2,0.05852,-0.114713
2.50,0,Start,4,2,0.052956,-0.112974
2.52,0,Start,4,2,0.035824,-0.114973
2.54,0,Start,4,2,0.035824,-0.114973
2.56,0,Start,4,2,0.026957,-0.114876
2.58,0,Start,4,2,0.017683,-0.116546
2.60,0,Start,4,2,0.017683,-0.116546
2.62,0,Start,4,2,-0.00063,-0.116959
2.64,0,Start,4,2,-0.004127,-0.118858
2.66,1,Intro,1,3,-0.004127,-0.118858
2.68,1,Intro,1,3,-0.010129,-0.114954
2.70,1,Intro,1,3,-0.021369,-0.117389
2.72,1,Intro,1,3,-0.021369,-0.117389
2.74,1,Intro,1,3,-0.036494,-0.11845
2.76,1,Intro,1,3,-0.059366,-0.122408
2.78,1,Intro,1,3,-0.059366,-0.122408
2.80,1,Intro,1,3,-0.091867,-0.122802
2.82,1,Intro,1,3,-0.101217,-0.121989
2.84,1,Intro,1,3,-0.101217,-0.121989
2.86,1,Intro,1,3,-0.11086,-0.120354
2.88,1,Intro,1,3,-0.11323,-0.119235
2.90,1,Intro,1,3,-0.11323,-0.119235
2.92,1,Intro,1,3,-0.114445,-0.11802
2.94,1,Intro,1,3,-0.112593,-0.114443
2.96,1,Intro,1,3,-0.112593,-0.114443
2.98,1,Intro,2,3,-0.114501,-0.114939
3.00,1,Intro,2,3,-0.112421,-0.09333
3.02,1,Intro,2,3,-0.112421,-0.09333
3.04,1,Intro,2,3,-0.110744,-0.081017
3.06,1,Intro,2,3,-0.110281,-0.049251
3.08,1,Intro,2,3,-0.110281,-0.049251
3.10,1,Intro,2,3,-0.113214,-0.036674
3.12,1,Intro,2,3,-0.114425,-0.02457
3.14,1,Intro,2,3,-0.114425,-0.02457
3.16,1,Intro,2,3,-0.113386,-0.004602
3.18,1,Intro,2,3,-0.110569,0.01331
3.20,1,Intro,2,3,-0.110569,0.01331
3.22,1,Intro,2,3,-0.108184,0.04662
3.24,1,Intro,2,3,-0.104794,0.067758
3.26,1,Intro,2,3,-0.104794,0.067758
3.28,1,Intro,2,3,-0.101737,0.084757
3.30,1,Intro,2,3,-0.098607,0.116263
3.32,1,Intro,3,3,-0.098607,0.116263
3.34,1,Intro,3,3,-0.090563,0.139824
3.36,1,Intro,3,3,-0.08996,0.16263
3.38,1,Intro,3,3,-0.08996,0.16263
3.40,1,Intro,3,3,-0.087325,0.235818
3.42,1,Intro,3,3,-0.085196,0.262376
3.44,1,Intro,3,3,-0.085196,0.262376
3.46,1,Intro,3,3,-0.085726,0.275305
3.48,1,Intro,3,3,-0.084397,0.289142
3.50,1,Intro,3,3,-0.084397,0.289142
3.52,1,Intro,3,3,-0.084728,0.304382
3.54,1,Intro,3,3,-0.082597,0.313795
3.56,1,Intro,3,3,-0.082597,0.313795
3.58,1,Intro,3,3,-0.081215,0.330388
3.60,1,Intro,3,3,-0.078754,0.337064
3.62,1,Intro,3,3,-0.078754,0.337064
3.64,1,Intro,3,3,-0.074939,0.338087
3.66,1,Intro,4,3,-0.067101,0.34572
3.68,1,Intro,4,3,-0.067101,0.34572
3.70,1,Intro,4,3,-0.054834,0.35203
3.72,1,Intro,4,3,-0.044936,0.352108
3.74,1,Intro,4,3,-0.044936,0.352108
3.76,1,Intro,4,3,-0.034793,0.351411
3.78,1,Intro,4,3,-0.033451,0.348515
3.80,1,Intro,4,3,-0.033451,0.348515
3.82,1,Intro,4,3,-0.031288,0.34765
3.84,1,Intro,4,3,-0.019054,0.346413
3.86,1,Intro,4,3,-0.019054,0.346413
3.88,1,Intro,4,3,0.027819,0.339224
3.90,1,Intro,4,3,0.052241,0.33801
3.92,1,Intro,4,3,0.052241,0.33801
3.94,1,Intro,4,3,0.091758,0.340058
3.96,1,Intro,4,3,0.115565,0.339377
3.98,1,Intro,1,4,0.115565,0.339377
4.00,1,Intro,1,4,0.138064,0.340622
4.02,1,Intro,1,4,0.165746,0.340201
4.04,1,Intro,1,4,0.165746,0.340201
4.06,1,Intro,1,4,0.179857,0.341417
4.08,1,Intro,1,4,0.205617,0.340481
4.10,1,Intro,1,4,0.205617,0.340481
4.12,1,Intro,1,4,0.240003,0.339932
4.14,1,Intro,1,4,0.272019,0.342277
4.16,1,Intro,1,4,0.272019,0.342277
4.18,1,Intro,1,4,0.292419,0.340381
4.20,1,Intro,1,4,0.319264,0.338437
4.22,1,Intro,1,4,0.319264,0.338437
4.24,1,Intro,1,4,0.327914,0.334851
4.26,1,Intro,1,4,0.369333,0.333929
4.28,1,Intro,1,4,0.369333,0.333929
4.30,1,Intro,1,4,0.39051,0.333499
4.32,1,Intro,2,4,0.396592,0.329893
4.34,1,Intro,2,4,0.396592,0.329893
4.36,1,Intro,2,4,0.408206,0.295431
4.38,1,Intro,2,4,0.423372,0.267013
4.40,1,Intro,2,4,0.423372,0.267013
4.42,1,Intro,2,4,0.447698,0.242819
4.44,1,Intro,2,4,0.454651,0.191853
4.46,1,Intro,2,4,0.454651,0.191853
4.48,1,Intro,2,4,0.455259,0.126363
4.50,1,Intro,2,4,0.454723,0.116489
4.52,1,Intro,2,4,0.454723,0.116489
4.54,1,Intro,2,4,0.44769,0.067036
4.56,1,Intro,2,4,0.433474,0.015186
4.58,1,Intro,2,4,0.433474,0.015186
4.60,1,Intro,2,4,0.421416,-0.009635
4.62,1,Intro,2,4,0.410938,-0.053265
4.64,1,Intro,2,4,0.410938,-0.053265
4.66,1,Intro,3,4,0.394817,-0.088713
4.68,1,Intro,3,4,0.390134,-0.119546
4.70,1,Intro,3,4,0.390134,-0.119546
4.72,1,Intro,3,4,0.390396,-0.136653
4.74,1,Intro,3,4,0.389751,-0.151342
4.76,1,Intro,3,4,0.389751,-0.151342
4.78,1,Intro,3,4,0.390619,-0.162117
4.80,1,Intro,3,4,0.385244,-0.177028
4.82,1,Intro,3,4,0.385244,-0.177028
4.84,1,Intro,3,4,0.382881,-0.214012
4.86,1,Intro,3,4,0.372958,-0.230534
4.88,1,Intro,3,4,0.372958,-0.230534
4.90,1,Intro,3,4,0.342998,-0.231768
4.92,1,Intro,3,4,0.335471,-0.23786
4.94,1,Intro,3,4,0.335471,-0.23786
4.96,1,Intro,3,4,0.328869,-0.249015
4.98,1,Intro,3,4,0.314484,-0.251076
5.00,1,Intro,4,4,0.314484,-0.251076
5.02,1,Intro,4,4,0.301591,-0.248708
5.04,1,Intro,4,4,0.282633,-0.250768
5.06,1,Intro,4,4,0.282633,-0.250768
5.08,1,Intro,4,4,0.252082,-0.254357
5.10,1,Intro,4,4,0.237582,-0.257668
5.12,1,Intro,4,4,0.237582,-0.257668
5.14,1,Intro,4,4,0.206331,-0.262516
5.16,1,Intro,4,4,0.17248,-0.26463
5.18,1,Intro,4,4,0.17248,-0.26463
5.20,1,Intro,4,4,0.158794,-0.266138
5.22,1,Intro,4,4,0.137148,-0.270297
5.24,1,Intro,4,4,0.137148,-0.270297
5.26,1,Intro,4,4,0.093513,-0.268736
5.28,1,Intro,4,4,0.071711,-0.269453
5.30,1,Intro,4,4,0.071711,-0.269453
5.32,1,Intro,1,5,0.045938,-0.270144
5.34,1,Intro,1,5,0.007441,-0.267888
5.36,1,Intro,1,5,0.007441,-0.267888
5.38,1,Intro,1,5,-0.007086,-0.271459
5.40,1,Intro,1,5,-0.041441,-0.26664
5.42,1,Intro,1,5,-0.041441,-0.26664
5.44,1,Intro,1,5,-0.077927,-0.265921
5.46,1,Intro,1,5,-0.098344,-0.261139
5.48,1,Intro,1,5,-0.098344,-0.261139
5.50,1,Intro,1,5,-0.126282,-0.253754
5.52,1,Intro,1,5,-0.167899,-0.242556
5.54,1,Intro,1,5,-0.167899,-0.242556
5.56,1,Intro,1,5,-0.196184,-0.231042
5.58,1,Intro,1,5,-0.210651,-0.224231
5.60,1,Intro,1,5,-0.210651,-0.224231
5.62,1,Intro,1,5,-0.234017,-0.187416
