time,rms,region,measure,x,y
0.00,1,Start,1,0.020014,0.921563
0.02,1,Start,1,0.020014,0.921563
0.04,1,Start,1,0.020011,0.921563
0.06,1,Start,1,0.020014,0.921563
0.08,1,Start,1,0.020014,0.921563
0.10,1,Start,1,0.020011,0.92156
0.12,1,Start,1,0.020016,0.921564
0.14,1,Start,1,0.020016,0.921564
0.16,1,Start,1,0.019998,0.921563
0.18,1,Start,1,0.020011,0.921558
0.20,1,Start,1,0.020011,0.921558
0.22,1,Start,1,0.020007,0.921569
0.24,1,Start,1,0.020011,0.921564
0.26,1,Start,1,0.020011,0.921564
0.28,1,Start,1,0.020013,0.92156
0.30,1,Start,1,0.020019,0.921564
0.32,1,Start,1,0.020019,0.921564
0.34,1,Start,1,0.020013,0.921558
0.36,1,Start,1,0.020017,0.921564
0.38,1,Start,1,0.020017,0.921564
0.40,1,Start,1,0.020017,0.921561
0.42,1,Start,1,0.020016,0.921563
0.44,1,Start,1,0.020016,0.921563
0.46,1,Start,2,0.020011,0.92156
0.48,1,Start,2,0.020014,0.921563
0.50,1,Start,2,0.020014,0.921563
0.52,1,Start,2,0.020016,0.921564
0.54,1,Start,2,0.020016,0.921563
0.56,1,Start,2,0.020016,0.921563
0.58,1,Start,2,0.020011,0.921563
0.60,1,Start,2,0.020016,0.921563
0.62,1,Start,2,0.020016,0.921563
0.64,1,Start,2,0.020013,0.921564
0.66,1,Start,2,0.020011,0.921564
0.68,1,Start,2,0.020011,0.921564
0.70,1,Start,2,0.020016,0.921563
0.72,1,Start,2,0.020014,0.921563
0.74,1,Start,2,0.020014,0.921563
0.76,1,Start,2,0.020016,0.921563
0.78,1,Start,2,0.020013,0.921563
0.80,1,Start,2,0.020013,0.921563
0.82,1,Start,2,0.020017,0.921563
0.84,1,Start,2,0.020013,0.921561
0.86,1,Start,2,0.020013,0.921561
0.88,1,Start,2,0.020016,0.92156
0.90,1,Start,2,0.020014,0.921563
0.92,1,Start,3,0.020014,0.921563
0.94,1,Start,3,0.02001,0.921567
0.96,1,Start,3,0.020011,0.921564
0.98,1,Start,3,0.020011,0.921564
1.00,1,Start,3,0.020013,0.921566
1.02,1,Start,3,0.020013,0.921563
1.04,1,Start,3,0.020013,0.921563
1.06,1,Start,3,0.020011,0.92157
1.08,1,Start,3,0.020011,0.921566
1.10,1,Start,3,0.020011,0.921566
1.12,1,Start,3,0.020005,0.921564
1.14,1,Start,3,0.020016,0.921563
1.16,1,Start,3,0.020016,0.921563
1.18,1,Start,3,0.020014,0.921563
1.20,1,Start,3,0.020013,0.921564
1.22,1,Start,3,0.020013,0.921564
1.24,1,Start,3,0.020011,0.921561
1.26,1,Start,3,0.020013,0.921564
1.28,1,Start,3,0.020013,0.921564
1.30,1,Start,3,0.020013,0.921563
1.32,1,Start,3,0.020023,0.921563
1.34,1,Start,3,0.020023,0.921563
1.36,1,Start,3,0.020013,0.921563
1.38,1,Start,4,0.02001,0.921557
1.40,1,Start,4,0.02001,0.921557
1.42,1,Start,4,0.020019,0.921585
1.44,1,Start,4,0.020011,0.921564
1.46,1,Start,4,0.020011,0.921564
1.48,1,Start,4,0.020017,0.92156
1.50,1,Start,4,0.020016,0.921563
1.52,1,Start,4,0.020016,0.921563
1.54,1,Start,4,0.020013,0.921566
1.56,1,Start,4,0.020016,0.92156
1.58,1,Start,4,0.020016,0.92156
1.60,1,Start,4,0.020014,0.921563
1.62,1,Start,4,0.020016,0.921563
1.64,1,Start,4,0.020016,0.921563
1.66,1,Start,4,0.020022,0.921561
1.68,1,Start,4,0.020014,0.921561
1.70,1,Start,4,0.020014,0.921561
1.72,1,Start,4,0.020013,0.921563
1.74,1,Start,4,0.020013,0.921563
1.76,1,Start,4,0.020013,0.921563
1.78,1,Start,4,0.020011,0.921558
1.80,1,Start,4,0.020017,0.921566
1.82,1,Start,4,0.020017,0.921566
1.84,1,Start,1,0.020011,0.921563
1.86,1,Start,1,0.020011,0.921561
1.88,1,Start,1,0.020011,0.921561
1.90,1,Start,1,0.020013,0.921566
1.92,1,Start,1,0.020013,0.921563
1.94,1,Start,1,0.020013,0.921563
1.96,1,Start,1,0.020014,0.921563
1.98,1,Start,1,0.020019,0.921555
2.00,1,Start,1,0.020019,0.921555
2.02,1,Start,1,0.020016,0.921566
2.04,1,Start,1,0.020013,0.921564
2.06,1,Start,1,0.020013,0.921564
2.08,1,Start,1,0.020013,0.921558
2.10,1,Start,1,0.020016,0.921563
2.12,1,Start,1,0.020016,0.921563
2.14,1,Start,1,0.02002,0.921563
2.16,1,Start,1,0.020013,0.921564
2.18,1,Start,1,0.020013,0.921564
2.20,1,Start,1,0.02002,0.921561
2.22,1,Start,1,0.020016,0.921563
2.24,1,Start,1,0.020016,0.921563
2.26,1,Start,1,0.020005,0.921558
2.28,1,Start,1,0.020011,0.921567
2.30,1,Start,2,0.020011,0.921567
2.32,1,Start,2,0.020013,0.921564
2.34,1,Start,2,0.020008,0.921564
2.36,1,Start,2,0.020008,0.921564
2.38,1,Start,2,0.020005,0.921563
2.40,1,Start,2,0.020007,0.921561
2.42,1,Start,2,0.020007,0.921561
2.44,1,Start,2,0.019958,0.921561
2.46,1,Start,2,0.019642,0.921251
2.48,1,Start,2,0.019642,0.921251
2.50,1,Start,2,0.019526,0.920957
2.52,1,Start,2,0.019367,0.920601
2.54,1,Start,2,0.019367,0.920601
2.56,1,Start,2,0.018816,0.91946
2.58,1,Start,2,0.018501,0.917709
2.60,1,Start,2,0.018501,0.917709
2.62,1,Start,2,0.018146,0.919135
2.64,1,Start,2,0.017921,0.920013
2.66,1,Start,2,0.017921,0.920013
2.68,1,Start,2,0.017666,0.921735
2.70,1,Start,2,0.01702,0.921975
2.72,1,Start,2,0.01702,0.921975
2.74,1,Start,2,0.016417,0.921948
2.76,1,Start,3,0.016221,0.921139
2.78,1,Start,3,0.016221,0.921139
2.80,1,Start,3,0.016176,0.921137
2.82,1,Start,3,0.015946,0.921129
2.84,1,Start,3,0.015946,0.921129
2.86,1,Start,3,0.015786,0.921398
2.88,1,Start,3,0.015683,0.921728
2.90,1,Start,3,0.015683,0.921728
2.92,1,Start,3,0.015667,0.921815
2.94,1,Start,3,0.015541,0.921813
2.96,1,Start,3,0.015541,0.921813
2.98,1,Start,3,0.015461,0.921815
3.00,1,Start,3,0.015433,0.921815
3.02,1,Start,3,0.015433,0.921815
3.04,1,Start,3,0.0152,0.921802
3.06,1,Start,3,0.01516,0.921808
3.08,1,Start,3,0.01516,0.921808
3.10,1,Start,3,0.015097,0.921802
3.12,1,Start,3,0.015081,0.921795
3.14,1,Start,3,0.015081,0.921795
3.16,1,Start,3,0.015078,0.92177
3.18,1,Start,3,0.015088,0.921571
3.20,1,Start,3,0.015088,0.921571
3.22,1,Start,4,0.015114,0.921415
3.24,1,Start,4,0.015092,0.921213
3.26,1,Start,4,0.015092,0.921213
3.28,1,Start,4,0.015153,0.920774
3.30,1,Start,4,0.015183,0.920466
3.32,1,Start,4,0.015183,0.920466
3.34,1,Start,4,0.015184,0.920322
3.36,1,Start,4,0.015183,0.919935
3.38,1,Start,4,0.015183,0.919935
3.40,1,Start,4,0.015195,0.91971
3.42,1,Start,4,0.015204,0.919665
3.44,1,Start,4,0.015204,0.919665
3.46,1,Start,4,0.015203,0.919632
3.48,1,Start,4,0.015196,0.91962
3.50,1,Start,4,0.015196,0.91962
3.52,1,Start,4,0.015203,0.919604
3.54,1,Start,4,0.015199,0.919585
3.56,1,Start,4,0.015199,0.919585
3.58,1,Start,4,0.015209,0.919587
3.60,1,Start,4,0.015207,0.919593
3.62,1,Start,4,0.015207,0.919593
3.64,1,Start,4,0.015206,0.919598
3.66,1,Start,4,0.015206,0.919603
3.68,1,Start,1,0.015206,0.919603
3.70,1,Start,1,0.015207,0.919621
3.72,1,Start,1,0.015206,0.919642
3.74,1,Start,1,0.015206,0.919642
3.76,1,Start,1,0.015202,0.919697
3.78,1,Punch,1,0.015202,0.919767
3.80,1,Punch,1,0.015202,0.919767
3.82,1,Punch,1,0.015181,0.920041
3.84,1,Punch,1,0.015187,0.920098
3.86,1,Punch,1,0.015187,0.920098
3.88,1,Punch,1,0.015191,0.920104
3.90,1,Punch,1,0.015189,0.920115
3.92,1,Punch,1,0.015189,0.920115
3.94,1,Punch,1,0.015189,0.920109
3.96,1,Punch,1,0.015195,0.920109
3.98,1,Punch,1,0.015195,0.920109
4.00,1,Punch,1,0.015189,0.92011
4.02,1,Punch,1,0.015191,0.920107
4.04,1,Punch,1,0.015191,0.920107
4.06,1,Punch,1,0.015189,0.920099
4.08,1,Punch,1,0.015183,0.920092
4.10,1,Punch,1,0.015183,0.920092
4.12,1,Punch,1,0.015187,0.920089
4.14,1,Punch,2,0.015186,0.920075
4.16,1,Punch,2,0.015186,0.920075
4.18,1,Punch,2,0.015191,0.920078
4.20,1,Punch,2,0.015189,0.920072
4.22,1,Punch,2,0.015189,0.920072
4.24,1,Punch,2,0.015186,0.920067
4.26,1,Punch,2,0.015186,0.920058
4.28,1,Punch,2,0.015186,0.920058
4.30,1,Punch,2,0.015187,0.920055
4.32,1,Punch,2,0.01518,0.920056
4.34,1,Punch,2,0.01518,0.920056
4.36,1,Punch,2,0.015174,0.920055
4.38,1,Punch,2,0.015175,0.920059
4.40,1,Punch,2,0.015175,0.920059
4.42,1,Punch,2,0.015167,0.920059
4.44,1,Punch,2,0.015174,0.920053
4.46,1,Punch,2,0.015174,0.920053
4.48,1,Punch,2,0.015169,0.920064
4.50,1,Punch,2,0.015171,0.920067
4.52,1,Punch,2,0.015171,0.920067
4.54,1,Punch,2,0.015161,0.920073
4.56,1,Punch,2,0.015163,0.920078
4.58,1,Punch,2,0.015163,0.920078
4.60,1,Punch,3,0.015163,0.920082
4.62,1,Punch,3,0.015154,0.920102
4.64,1,Punch,3,0.015154,0.920102
4.66,1,Punch,3,0.015135,0.92011
4.68,1,Punch,3,0.015109,0.920162
4.70,1,Punch,3,0.015109,0.920162
4.72,1,Punch,3,0.015092,0.920192
4.74,1,Punch,3,0.015033,0.9202
4.76,1,Punch,3,0.015033,0.9202
4.78,1,Punch,3,0.014975,0.92019
4.80,1,Punch,3,0.014964,0.920193
4.82,1,Punch,3,0.014964,0.920193
4.84,1,Punch,3,0.014948,0.920193
4.86,1,Punch,3,0.014937,0.920205
4.88,1,Punch,3,0.014937,0.920205
4.90,1,Punch,3,0.014928,0.920194
4.92,1,Punch,3,0.014927,0.920179
4.94,1,Punch,3,0.014927,0.920179
4.96,1,Punch,3,0.01492,0.920183
4.98,1,Punch,3,0.014923,0.920181
5.00,1,Punch,3,0.014923,0.920181
5.02,1,Punch,3,0.01492,0.920183
5.04,1,Punch,3,0.014913,0.920175
5.06,1,Punch,4,0.014913,0.920175
5.08,1,Punch,4,0.014919,0.920173
5.10,1,Punch,4,0.014917,0.920173
5.12,1,Punch,4,0.014917,0.920173
5.14,1,Punch,4,0.014889,0.920175
5.16,1,Punch,4,0.014836,0.920165
5.18,1,Punch,4,0.014836,0.920165
5.20,1,Punch,4,0.014711,0.920131
5.22,1,Punch,4,0.014545,0.920111
5.24,1,Punch,4,0.014545,0.920111
5.26,1,Punch,4,0.014488,0.920097
5.28,1,Punch,4,0.014359,0.920078
5.30,1,Punch,4,0.014359,0.920078
5.32,1,Punch,4,0.014291,0.920066
5.34,1,Punch,4,0.014269,0.92009
5.36,1,Punch,4,0.014269,0.92009
5.38,1,Punch,4,0.014248,0.920217
5.40,1,Punch,4,0.01424,0.920249
5.42,1,Punch,4,0.01424,0.920249
5.44,1,Punch,4,0.014229,0.920272
5.46,1,Punch,4,0.014211,0.920294
5.48,1,Punch,4,0.014211,0.920294
5.50,1,Punch,4,0.014209,0.920309
5.52,1,Punch,1,0.0142,0.920304
5.54,1,Punch,1,0.0142,0.920304
5.56,1,Punch,1,0.0142,0.920304
5.58,1,Punch,1,0.014198,0.920306
5.60,1,Punch,1,0.014198,0.920306
5.62,1,Punch,1,0.014192,0.920306
5.64,1,Punch,1,0.0142,0.920304
5.66,1,Punch,1,0.0142,0.920304
5.68,1,Punch,1,0.014198,0.920311
5.70,1,Punch,1,0.014199,0.920459
5.72,1,Punch,1,0.014199,0.920459
5.74,1,Punch,1,0.014209,0.920542
5.76,1,Punch,1,0.014218,0.920612
5.78,1,Punch,1,0.014218,0.920612
5.80,1,Punch,1,0.014205,0.920705
5.82,1,Punch,1,0.014202,0.920823
5.84,1,Punch,1,0.014202,0.920823
5.86,1,Punch,1,0.014202,0.920859
5.88,1,Punch,1,0.0142,0.92088
5.90,1,Punch,1,0.0142,0.92088
5.92,1,Punch,1,0.0142,0.920893
